index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
100807,타디스테크놀로지,진성자동차공업사,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 신탄진로 542진성자동차공업사,24시간 이용가능,,7kW,,"('36.4271543247966', '127.421090500015')","(993165.6450691385, 1825470.352055865)"
100847,타디스테크놀로지,초원의집모텔,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 문창로94번길 28초원의집모텔,24시간 이용가능,,7kW,,"('36.3217848612299', '127.433612955723')","(994295.0894435631, 1813741.2824313834)"
101135,스타코프,KDN 대전충남지역본부 주차장,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 동서대로 1784KDN 대전충남지역본부 주차장(555-1 한전KDN(주)충남지사),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.3547099279294', '127.444621485629')","(995287.9875190626, 1817406.2949182761)"
101185,스타코프,MJ타워,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 문지로299번길 12MJ타워(653-4 MJ타워),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.393379646835', '127.406318080003')","(991833.2684915545, 1821710.7661573829)"
101253,스타코프,가나파로스빌2차,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 노은로 151가나파로스빌2차(894-2 가나파로스빌II),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3731669849351', '127.317379205128')","(983811.5581946695, 1819460.8190598537)"
101654,스타코프,건양타워,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 관저동로 170건양타워(건양 타워),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3073011518925', '127.341157141043')","(985956.1739618023, 1812129.0464999406)"
101863,스타코프,경남아너스빌2관리단대표회,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 은구비남로33번길 5경남아너스빌2관리단대표회(905-5 경남아너스빌2),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3725326914099', '127.318987426367')","(983956.6093310894, 1819390.213471977)"
102562,스타코프,국민주택 1호 (저압수용가),1,AC완속,대전광역시 ,중구 ,대전광역시 중구 동서대로 1350국민주택 1호 (저압수용가)(용두동 56-10),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3298036209661', '127.408993374078')","(992074.5626844337, 1814633.8806098716)"
102566,스타코프,국화우성아파트,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 둔산로 201국화우성아파트(1809 국화아파트),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3551065166594', '127.398143110467')","(991095.9392033685, 1817450.4406951356)"
102740,스타코프,기아 대전지점,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 한밭대로 1266기아 대전지점(용전동 51-4),09:00~18:00,입주자외 이용불가,3kW,,"('36.3550067521519', '127.436808773284')","(994583.3314825142, 1817439.3355341635)"
102815,스타코프,기아 신세계대리점,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 계백로 1546기아 신세계대리점(유천동 328-7),09:00~18:00,입주자외 이용불가,3kW,,"('36.316678504296', '127.39196546875')","(990538.7559441762, 1813172.874716493)"
102907,스타코프,기아 유성도안지점,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 월드컵대로 316기아 유성도안지점(상대동 439-3),09:00~18:00,입주자외 이용불가,3kW,,"('36.348216549807', '127.335089986513')","(985408.9559310536, 1816683.492680154)"
102908,스타코프,기아 유승대리점,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 월드컵대로51번길 114기아 유승대리점(장대동 224-38),09:00~18:00,입주자외 이용불가,3kW,,"('36.3597719590082', '127.326927517942')","(984672.7541489193, 1817969.768556224)"
103213,스타코프,다솜빌라,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로431번길 14다솜빌라(용전동 179-15),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.3503535447907', '127.431276670951')","(994084.3716934402, 1816921.3695953682)"
103445,스타코프,대우ONC (저압수용가),1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 송촌로93번길 23대우ONC (저압수용가)(송촌동 482-3),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.3623934992471', '127.439211830468')","(994800.0716715931, 1818261.5820185365)"
