운영기관,충전소,충전소별 충전기연번,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,비고
대구환경공단,대구시_(대구 수성구)황금1동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 청호로57길 10,24시간 이용가능,,
대구환경공단,대구시_(대구 중구)남산3동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 남산로4길 70,24시간 이용가능,,
대구환경공단,대구시_KS택시주식회사,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 희망로 226KS택시주식회사,24시간 이용가능,,
대구환경공단,대구시_남구청,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 이천로 51,24시간 이용가능,,
대구환경공단,대구시_남구청,02,AC완속,대구광역시 ,남구 ,대구광역시 남구 이천로 51,24시간 이용가능,,
대구환경공단,대구시_남산2동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 명륜로 27-1남산2동 행정복지센터,24시간 이용가능,,
대구환경공단,대구시_내당4동,01,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 서대구로3길 46대구시_내당4동,09:00~18:00,,
대구환경공단,대구시_대구 지식산업센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 오봉로 164대구 지식산업센터,24시간 이용가능,,
대구환경공단,대구시_대구광역시 차량등록사업소,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 동원로 84,24시간 이용가능,,
대구환경공단,대구시_대구도시철도공사,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 월배로 250대구도시철도공사,24시간 이용가능,,
대구환경공단,대구시_대구시청,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 공평로 88대구시청 지하주차장 내,09:00~18:00,,
대구환경공단,대구시_대구유통단지 전자관,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 유통단지로 45대구유통단지 전자관,24시간 이용가능,,
대구환경공단,대구시_대구유통단지 전자관,02,AC완속,대구광역시 ,북구 ,대구광역시 북구 유통단지로 45대구유통단지 전자관,24시간 이용가능,,
대구환경공단,대구시_대구유통단지 전자관,03,AC완속,대구광역시 ,북구 ,대구광역시 북구 유통단지로 45대구유통단지 전자관,24시간 이용가능,,
대구환경공단,대구시_대구유통단지 전자관,04,AC완속,대구광역시 ,북구 ,대구광역시 북구 유통단지로 45대구유통단지 전자관,24시간 이용가능,,
대구환경공단,대구시_대구유통단지 전자관,05,AC완속,대구광역시 ,북구 ,대구광역시 북구 유통단지로 45대구유통단지 전자관,24시간 이용가능,,
대구환경공단,대구시_대구은행 3공단영업부지점,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 노원동로 2,24시간 이용가능,,
대구환경공단,대구시_대구은행 본점,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 2310대구은행 본점 지상주차장,09:00~18:00,,
대구환경공단,대구시_대구은행 신암동지점,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 아양로 2,24시간 이용가능,,
대구환경공단,대구시_대구은행 월배지점,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 월배로 109,24시간 이용가능,,
대구환경공단,대구시_대구테크노파크 신기술산업지원센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 성서공단로 46-17대구테크노파크 신기술산업지원센터,24시간 이용가능,,
대구환경공단,대구시_대명11동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 관문시장4길 53대명11동 행정복지센터,24시간 이용가능,,
대구환경공단,대구시_대명2동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 명덕로32길 30,24시간 이용가능,,
대구환경공단,대구시_대명3동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 명덕로20길 115,24시간 이용가능,,
대구환경공단,대구시_대명4동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 두류공원로20길 19,24시간 이용가능,,
대구환경공단,대구시_대봉2동 주민센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 대봉로47길 31대봉2동 주민센터,24시간 이용가능,,
대구환경공단,대구시_대신동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,중구 ,대구광역시 중구 달구벌대로389길 50,24시간 이용가능,,
대구환경공단,대구시_대현동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 대현남로5길 18대현동 행정복지센터,24시간 이용가능,,
대구환경공단,대구시_도평동 공영주차장,01,DC차데모+AC3상+DC콤보,대구광역시 ,동구 ,대구광역시 동구 팔공로24길 71(도동 3-22),24시간 이용가능,,
대구환경공단,대구시_두류3동,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 야외음악당로39길 24대구시_두류3동,09:00~18:00,,
대구환경공단,대구시_명성푸르지오,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 침산로 153,24시간 이용가능,,
대구환경공단,대구시_명성푸르지오,02,AC완속,대구광역시 ,북구 ,대구광역시 북구 침산로 153,24시간 이용가능,,
대구환경공단,대구시_명성푸르지오,03,AC완속,대구광역시 ,북구 ,대구광역시 북구 침산로 153,24시간 이용가능,,
대구환경공단,대구시_범물1동,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 범안로 76대구시_범물1동,09:00~18:00,,
대구환경공단,대구시_범어1동,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구 범어천로 97대구시_범어1동,09:00~18:00,,
대구환경공단,대구시_봉덕3동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 중앙대로22길 100,24시간 이용가능,,
대구환경공단,대구시_산격1동,01,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 연암로36길 6대구시_산격1동,09:00~18:00,,
대구환경공단,대구시_삼덕동,01,AC완속,대구광역시 ,중구 ,대구광역시 중구 달구벌대로447길 72-11대구시_삼덕동,09:00~18:00,,
대구환경공단,대구시_상리공원,01,DC차데모+AC3상+DC콤보,대구광역시 ,서구 ,대구광역시 서구 평리로17길 45대구 서구 중리동 산 198-3 대구시_상리공원,09:00~18:00,,
대구환경공단,대구시_상인3동,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 상인로 25대구시_상인3동,09:00~18:00,,
대구환경공단,대구시_상호림공원,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 달서대로91길 115상호림공원,24시간 이용가능,,
대구환경공단,대구시_성당두산위브,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 당산로 82,24시간 이용가능,,
대구환경공단,대구시_성당두산위브,02,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 당산로 82,24시간 이용가능,,
대구환경공단,대구시_성당두산위브,03,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 당산로 82,24시간 이용가능,,
대구환경공단,대구시_송현2동 행정복지센터,01,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 월배로83길 120-14,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,02,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,03,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,04,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,05,AC완속,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구,06,AC완속,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
대구환경공단,대구시_수성의료지구(대구도시공사),01,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,대구광역시 수성구,24시간 이용가능,,
