index,geometry,id,gid,sgg_nm_k,sgg_nm_e,sgg_cd,sido_nm_k,sido_nm_e,sido_cd,value,stats_year,raw_d_year
121717,"POLYGON ((970500 1852500, 970500 1853000, 971000 1853000, 971000 1852500, 970500 1852500))",121718,다바70b52b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.513,2020,202010
121718,"POLYGON ((970500 1853000, 970500 1853500, 971000 1853500, 971000 1853000, 970500 1853000))",121719,다바70b53a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.133,2020,202010
121719,"POLYGON ((970500 1853500, 970500 1854000, 971000 1854000, 971000 1853500, 970500 1853500))",121720,다바70b53b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.034,2020,202010
121720,"POLYGON ((970500 1854000, 970500 1854500, 971000 1854500, 971000 1854000, 970500 1854000))",121721,다바70b54a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,3.992,2020,202010
121721,"POLYGON ((970500 1854500, 970500 1855000, 971000 1855000, 971000 1854500, 970500 1854500))",121722,다바70b54b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.053,2020,202010
121722,"POLYGON ((970500 1855000, 970500 1855500, 971000 1855500, 971000 1855000, 970500 1855000))",121723,다바70b55a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,4.624,2020,202010
121723,"POLYGON ((970500 1855500, 970500 1856000, 971000 1856000, 971000 1855500, 970500 1855500))",121724,다바70b55b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,5.573,2020,202010
121724,"POLYGON ((970500 1856000, 970500 1856500, 971000 1856500, 971000 1856000, 970500 1856000))",121725,다바70b56a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.472,2020,202010
121725,"POLYGON ((970500 1856500, 970500 1857000, 971000 1857000, 971000 1856500, 970500 1856500))",121726,다바70b56b,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,8.244,2020,202010
121726,"POLYGON ((970500 1857000, 970500 1857500, 971000 1857500, 971000 1857000, 970500 1857000))",121727,다바70b57a,세종특별자치시,Sejong-si,36110,세종특별자치시,Sejong-si,36,6.734,2020,202010
