,주용도코드명,대지위치
598,주거지,강원도 춘천시 남면 추곡리 35번지
599,주거지,강원도 춘천시 남면 추곡리 36번지
600,주거지,강원도 춘천시 남면 추곡리 39번지
602,주거지,강원도 춘천시 남면 한덕리 17번지
603,농축산업시설,강원도 춘천시 남면 한덕리 25번지
605,주거지,강원도 춘천시 남면 한덕리 43번지
606,주거지,강원도 춘천시 남면 한덕리 44번지
608,주거지,강원도 춘천시 남면 한덕리 55번지
609,주거지,강원도 춘천시 남면 한덕리 59번지
610,주거지,강원도 춘천시 남면 한덕리 59-1번지
611,주거지,강원도 춘천시 남면 한덕리 61번지
612,주거지,강원도 춘천시 서면 현암리 295번지
613,주거지,강원도 춘천시 서면 현암리 300번지
614,주거지,강원도 춘천시 서면 현암리 301번지
615,편의시설,강원도 춘천시 서면 현암리 301-1번지
616,주거지,강원도 춘천시 서면 현암리 301-2번지
617,편의시설,강원도 춘천시 서면 현암리 309번지
618,편의시설,강원도 춘천시 서면 현암리 310번지
619,주거지,강원도 춘천시 서면 현암리 312-2번지
620,주거지,강원도 춘천시 서면 현암리 312-4번지
621,편의시설,강원도 춘천시 서면 현암리 316번지
622,주거지,강원도 춘천시 서면 금산리 178-2번지
623,주거지,강원도 춘천시 서면 금산리 208-1번지
624,주거지,강원도 춘천시 서면 금산리 382-1번지
625,주거지,강원도 춘천시 서면 금산리 382-9번지
626,주거지,강원도 춘천시 서면 금산리 388-3번지
627,생산시설,강원도 춘천시 서면 금산리 388-4번지
